,Entity,Code,Year,Annual CO₂ emissions,Annual CO₂ emissions including land-use change,Annual CO₂ emissions from land-use change
6956,China,CHN,2021,11472369000.0,11799967000.0,327598240.0
35676,United States,USA,2021,5007336000.0,5120113700.0,112777920.0
15518,India,IND,2021,2709683700.0,2794981600.0,85297920.0
27491,Russia,RUS,2021,1755547400.0,2193248800.0,437701440.0
17066,Japan,JPN,2021,1067398460.0,1069999900.0,2601440.0
15862,Iran,IRN,2021,748878700.0,725795500.0,-23083200.0
12766,Germany,DEU,2021,674753540.0,668781200.0,-5972320.0
29081,Saudi Arabia,SAU,2021,672379900.0,674651600.0,2271680.0
15690,Indonesia,IDN,2021,619277500.0,1649521000.0,1030243500.0
31032,South Korea,KOR,2021,616075000.0,609626400.0,-6448640.0
6096,Canada,CAN,2021,545634500.0,655994200.0,110359680.0
4832,Brazil,BRA,2021,488881100.0,1481861600.0,992980600.0
34300,Turkey,TUR,2021,446204200.0,435468670.0,-10735520.0
30860,South Africa,ZAF,2021,435928900.0,440728740.0,4799840.0
21436,Mexico,MEX,2021,407205060.0,667458940.0,260253920.0
2008,Australia,AUS,2021,391187420.0,399138300.0,7950880.0
35504,United Kingdom,GBR,2021,346773200.0,353038620.0,6265440.0
16722,Italy,ITA,2021,328687330.0,290691650.0,-37995680.0
26459,Poland,POL,2021,328579780.0,281204260.0,-47375520.0
36708,Vietnam,VNM,2021,326013660.0,505989340.0,179975680.0
11839,France,FRA,2021,305963700.0,290245150.0,-15718560.0
32752,Taiwan,TWN,2021,282856060.0,285310940.0,2454880.0
33268,Thailand,THA,2021,278495700.0,338731870.0,60236160.0
17582,Kazakhstan,KAZ,2021,276683460.0,267376900.0,-9306560.0
20151,Malaysia,MYS,2021,256048940.0,404843970.0,148795040.0
9947,Egypt,EGY,2021,249624140.0,249917260.0,293120.0
31376,Spain,ESP,2021,233649540.0,208148100.0,-25501440.0
25188,Pakistan,PAK,2021,229512380.0,254061180.0,24548800.0
35332,United Arab Emirates,ARE,2021,204086660.0,204050020.0,-36640.0
