,country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
171,Afghanistan,2021,AFG,40099460.0,,0.012,0.0,11.874,0.192,1.647,12.241,0.229,1.907,0.305,,0.451,0.296,,0.438,4.204,0.105,,,,2.517,217.993,559.514,57.676,5.956,20.267,861.113,131.577,,676.696,,0.0,0.0,0.239,0.006,,,0.366,0.009,,,,,7.42,0.185,,,27.135,0.001,0.032,0.03,0.028,0.006,0.013,0.023,0.007,0.032,0.008,0.116,0.022,,0.0,0.003,0.009,0.063,,0.083,0.001,0.001,0.001,0.0,,,,
443,Africa,2021,,1393676724.0,,77.735,0.056,1450.796,64.907,4.683,2610.896,70.958,2.794,1.874,,0.466,1.041,,0.259,433.855,0.311,,,,1945.343,49133.684,175521.578,20588.996,2918.013,6304.812,165352.703,17376.52,,4027.117,,56.299,0.04,326.296,0.234,,,1160.682,0.833,,,,,556.612,0.4,,,5612.5,4.648,3.908,6.358,2.896,4.317,2.829,7.092,2.56,15.812,2.482,22.27,2.87,,13.516,4.119,29.466,4.702,,9.186,0.06,0.077,0.148,0.011,,,,
615,Africa (GCP),2021,,,,,,1450.783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
787,Aland Islands,2021,ALA,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.276,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.001,,,,,0.0,,,,,,,,,,,
959,Albania,2021,ALB,2854710.0,,1.048,0.367,4.619,-0.109,-2.315,4.582,-0.219,-4.568,1.605,,0.114,1.618,,0.115,0.174,0.061,,,,24.375,293.839,555.742,66.782,0.136,16.707,454.299,185.838,,14100.432,,0.0,0.0,0.15,0.053,,,-0.037,-0.013,,,,,3.246,1.137,,,40.253,0.063,0.012,0.011,0.001,0.054,0.017,0.022,0.008,0.001,0.007,0.061,0.031,,0.0,0.002,-0.001,0.027,,0.024,0.0,0.0,0.0,0.0,,,,
1131,Algeria,2021,DZA,44177964.0,,11.028,0.25,176.269,3.765,2.182,178.321,3.728,2.135,4.036,,0.254,3.99,,0.251,1.096,0.025,,,,243.217,4862.567,5799.415,117.541,693.757,2154.349,1235.757,1653.702,,15914.461,,15.333,0.347,92.792,2.1,,,2.052,0.046,,,,,56.021,1.268,,,703.068,0.659,0.475,0.434,0.007,0.54,0.28,0.234,0.015,3.759,0.848,0.166,0.273,,3.681,1.171,0.052,0.473,,0.406,0.004,0.002,0.007,0.0,,,,
1303,American Samoa,2021,ASM,45056.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.476,,,35426.699,,,,,,,,0.0,,,,,,,,,,1.596,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,
1575,Andorra,2021,AND,79057.0,,0.0,0.0,0.453,0.004,0.892,0.453,0.004,0.892,5.729,,,5.729,,,0.0,0.0,,,,0.0,15.484,16.291,0.0,0.0,0.0,0.806,15.484,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.453,5.729,,,,0.0,0.001,0.001,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.003,,0.0,0.0,0.0,0.004,,0.001,0.0,0.0,0.0,0.0,,,,
1747,Angola,2021,AGO,34503776.0,,1.124,0.033,21.363,1.087,5.361,90.283,-0.122,-0.135,2.617,,0.937,0.619,,0.222,0.0,0.0,,,,26.091,657.116,6569.969,1.601,236.486,46.112,10628.787,346.826,,2791.332,,3.386,0.098,2.951,0.086,,,68.92,1.997,,,,,13.902,0.403,,,96.311,0.067,0.058,0.22,0.0,0.058,0.038,0.265,0.0,1.281,0.018,1.432,0.057,,0.813,0.037,1.75,0.117,,0.419,0.003,0.004,0.007,0.0,,,,
1919,Anguilla,2021,AIA,15779.0,,0.0,0.0,0.145,0.013,10.164,0.145,0.013,10.164,9.173,,,9.173,,,0.0,0.0,,,,0.0,3.588,3.588,0.0,0.0,0.0,0.0,3.588,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.145,9.173,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,,0.0,0.0,0.0,0.001,,0.0,0.0,0.0,0.0,0.0,,,,
2090,Antarctica,2021,ATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.049,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,,,,
2262,Antigua and Barbuda,2021,ATG,93229.0,,0.0,0.0,0.469,0.043,10.164,0.469,0.043,10.164,5.027,,0.171,5.027,,0.171,0.0,0.0,,,,0.0,22.002,20.61,0.0,0.0,0.0,-8.097,22.002,,29464.332,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.469,5.027,,,2.747,0.0,0.001,0.001,0.0,0.0,0.001,0.001,0.0,0.0,0.0,-0.001,0.004,,0.0,0.0,0.0,0.004,,0.001,0.0,0.0,0.0,0.0,,,,
2434,Argentina,2021,ARG,45276788.0,,4.671,0.103,186.448,17.186,10.153,218.069,11.726,5.683,4.816,,0.226,4.118,,0.193,4.816,0.106,,,,201.576,8636.5,21379.012,541.647,182.536,2970.459,13327.324,4740.281,,21328.186,,2.325,0.051,94.328,2.083,,,31.62,0.698,,,,,80.309,1.774,,,965.672,0.279,0.502,0.531,0.032,0.447,0.497,0.864,0.067,0.989,1.169,1.795,0.783,,0.558,1.191,0.803,0.678,,1.16,0.006,0.011,0.019,0.001,,,,
2610,Armenia,2021,ARM,2790971.0,,0.341,0.122,6.806,0.375,5.837,7.282,0.302,4.328,2.609,,0.148,2.439,,0.138,0.012,0.004,,,,15.224,383.291,631.674,43.914,2.157,163.669,252.779,158.328,,17684.547,,0.0,0.0,5.461,1.957,,,0.476,0.171,,,,,0.992,0.355,,,49.357,0.02,0.018,0.018,0.0,0.034,0.022,0.026,0.005,0.012,0.064,0.034,0.026,,0.0,0.069,0.012,0.008,,0.022,0.0,0.0,0.0,0.0,,,,
2781,Aruba,2021,ABW,106543.0,,0.0,0.0,0.858,0.079,10.164,,,,,,,8.054,,0.175,0.0,0.0,,,,0.0,76.866,,0.0,0.0,0.0,,76.866,,46090.324,,0.0,0.0,0.0,0.0,,,,,,,,,0.858,8.054,,,4.911,0.0,0.002,,0.0,0.0,0.004,,0.0,0.0,0.0,,0.013,,0.0,0.0,,0.007,,0.002,0.0,0.0,0.0,0.0,,,,
3053,Asia,2021,,4693332132.0,,1358.534,0.289,21688.988,999.242,4.83,23784.027,1009.758,4.434,5.068,,0.27,4.621,,0.246,11959.011,2.548,,,,27959.301,557596.562,818805.375,295094.906,6423.851,60839.258,305462.562,161598.469,5680.75,18812.572,,121.619,0.026,3242.854,0.691,,,2098.446,0.447,,,,,4806.574,1.024,0.043,200.396,88293.648,81.223,58.423,57.921,79.835,62.04,32.102,33.085,36.695,34.81,23.947,41.14,26.689,58.66,29.198,40.936,53.273,40.606,67.668,35.685,0.194,0.354,0.575,0.027,,,,
3225,Asia (GCP),2021,,,,,,18970.906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3497,Asia (excl. China and India),2021,,,,356.572,0.192,7506.934,218.413,2.997,9189.079,219.77,2.45,4.941,,0.265,4.036,,0.216,2200.712,1.183,,,,9677.162,251138.344,414305.594,71003.422,6173.543,51194.348,201007.156,112308.664,781.198,,,114.17,0.061,2335.537,1.256,,,1685.55,0.906,,,,,2471.085,1.329,0.016,28.857,,21.319,20.221,22.378,14.691,21.473,14.459,16.741,8.829,33.453,20.151,27.072,18.549,8.067,27.41,29.482,42.791,20.876,9.744,18.58,0.098,0.19,0.299,0.012,,,,
